sample_id,BART_post_rouge1,T5large_post_rouge1,BART_post_rouge2,T5large_post_rouge2,BART_post_rougel,T5large_post_rougel,BART_post_bleu,T5large_post_bleu,BART_post_meteor,T5large_post_meteor
28,0.2891566265060241,0.3728813559322034,0.04938271604938272,0.17543859649122806,0.1927710843373494,0.23728813559322037,0.01064011414355274,0.03248847222172617,0.24973703981968443,0.1593625498007968
29,0.4057971014492754,0.23999999999999996,0.26865671641791045,0.027397260273972598,0.31884057971014496,0.10666666666666667,0.10500614219885059,0.005034460682273033,0.33448760413530065,0.09803921568627451
30,0.5523809523809524,0.509090909090909,0.27184466019417475,0.16666666666666666,0.39999999999999997,0.34545454545454546,0.11389209493166368,0.04058915893543137,0.34745398333367455,0.3103469238874929
31,0.15053763440860218,0.12903225806451613,0.021978021978021976,0.03333333333333333,0.08602150537634408,0.09677419354838708,0.010422323780099494,0.0034539912372509043,0.09209263258939283,0.034562211981566816
32,0.3870967741935484,0.3461538461538462,0.3,0.27999999999999997,0.3548387096774194,0.3461538461538462,0.10989565913846457,0.012338142098850861,0.41682242990654206,0.3312556549713482
33,0.43243243243243246,0.41269841269841273,0.16666666666666666,0.13114754098360656,0.29729729729729726,0.25396825396825395,0.04983342786155735,0.05061107223438819,0.3902994791666667,0.313568518253107
34,0.4842105263157894,0.1764705882352941,0.3225806451612903,0.0,0.4421052631578947,0.14705882352941174,0.19630192405290037,0.007027138947825135,0.42311466942148757,0.06756756756756757
35,0.4369747899159664,0.30952380952380953,0.27350427350427353,0.0975609756097561,0.4033613445378151,0.2142857142857143,0.12069877686647176,0.011366389000383339,0.3888603696098563,0.15227868281688076
36,0.3296703296703297,0.43678160919540227,0.0449438202247191,0.21176470588235294,0.1758241758241758,0.3448275862068966,0.010766864701312811,0.13481992111033636,0.18005540166204984,0.2792533749208051
37,0.425531914893617,0.3142857142857143,0.2391304347826087,0.11764705882352941,0.3404255319148936,0.2,0.1542676522500534,0.032378312013533334,0.335009765625,0.23318366195961043
38,0.20689655172413793,0.3116883116883117,0.04705882352941177,0.08,0.1839080459770115,0.2337662337662338,0.01000100025007503,0.013722599955986394,0.07633587786259542,0.16679790026246713
39,0.3846153846153846,0.19047619047619047,0.21052631578947367,0.03278688524590164,0.3589743589743589,0.15873015873015872,0.16377871493148724,0.006510755202591488,0.43402671872140547,0.07220216606498195
40,0.29729729729729726,0.5,0.08333333333333334,0.3913043478260869,0.21621621621621623,0.5,0.02319549797997616,0.24343304284910333,0.24727626459143964,0.48283261802575106
41,0.2702702702702703,0.16091954022988506,0.05504587155963303,0.0,0.12612612612612611,0.11494252873563218,0.024901562613130094,0.005231185904583225,0.19814944134078213,0.10721247563352827
